Position,Name,CPU,Clock Speed,Score (cb),extra info
1,Kizune,2x Intel Xeon Platinum 8168,3.49ghz,8205,
2,Dark,2x AMD Epyc 7601,2.2ghz,6873,
3,LinusTech,4x Intel Xeon 8357 V3,2.5ghz,6139,https://www.youtube.com/watch?v=8leyqlRo1O8
4,Thomieboy,2x Intel Xeon Platinum 8168,2.7ghz,5926,
5,screwieTKC,2x Xeon E5 2696 V4,2.2ghz,5713,
6,Xpl0jd,2x Intel Xeon Gold 6152,2.1ghz,5613,
7,Jazz2k,4x Xeon E5 4628L,1.8ghz,5153,
8,Kizune,2x Intel Xeon E5 2697A V4,2.66ghz,4796,
9,Mugisha,2x Intel Xeon E5 2686 V4,2.3ghz,4667,
10,AlexCo,2x Intel Xeon E5-2699 V3,2.3ghz,4515,
11,2Tequilas,2x Intel Xeon E7-8990 V3,2.5ghz,4070,
12,LinusTech,2x Intel Xeon E5-2699 V3,2.3ghz,3981,(INSANE Rendering Machine Part 2)
13,kinski,2x Intel Xeon E5 2686 V3,2.3ghz,3759,
14,ahhming,2x Intel Xeon E5 2698 V3,2.3ghz,3721,
15,Jumper118,AMD Ryzen 1950X,4.223ghz,3700,
16,King Poet,AMD Ryzen 2950X,4.275ghz,3678,
17,done12many2,AMD Ryzen 1950X,4.098ghz,3668,
18,Legendarypoet,AMD Ryzen 2950X,4.25ghz,3626,
19,Jazz2k,2x Intel Xeon E5 2698 V3,2.3ghz,3611,
20,thinkoffcenter,2x Intel Xeon E5 2695 V3,2.3ghz,3601,
21,Locutis,2x Intel Xeon E5 2687W V4,3ghz,3598,
22,Legendarypoet,AMD Ryzen 1950X,4.098ghz,3526,
23,Lemon Wolf,AMD Ryzen 1950X,4.039ghz,3515,
24,Cheddle,AMD Ryzen 1950X,3.996ghz,3440,
25,ReHWolution,AMD Ryzen 1950X,4ghz,3438,
26,0x00000001,AMD Ryzen 2950X,4ghz,3436,
27,ugotd8,AMD Ryzen 1950X,3.9ghz,3382,
28,done12many2,Intel Core I9 7920X,4.8ghz,3267,
29,ta420nk,AMD Ryzen 1950X,3.916ghz,3231,
30,magicsmoke,2x Intel Xeon E5 2683 V3,2.11ghz,3220,
31,The Veteran,Xeon E5 2696 V4,2.2ghz,3212,
32,valdyrgramr,AMD Ryzen 1950X,4ghz,3212,
33,pKc,Intel Core I9 7940X,4.2ghz,3208,
34,Filthyscum,Intel Core I9 7960X,4.2ghz,3170,
35,fast427,AMD Ryzen 1950X,3.7ghz,3137,
36,DeathPheonix,Intel Core I9 7920X,4.8ghz,3114,
37,rvborgh,4x AMD Opteron 61xx ES,3ghz,3112,
38,SandMartian,AMD Ryzen 1950X,3.4ghz,3056,
39,thinkoffcenter,2x Intel Xeon E5 2687W V3,3.1ghz,3053,
40,hereiam,2x Intel Xeon E5 2650 V4,2.2ghz,2998,
41,FireWalkerX,2x Intel Xeon E5 2683 V3,2ghz,2990,
42,Cactusoldman,AMD Ryzen 1950X,3.7ghz,2953,
43,YourGadgetGuy,AMD Ryzen 2950X,4.049ghz,2893,
44,kinski,2x Intel Xeon E5 2675 V3,1.8ghz,2880,
45,done12many2,Intel Core I9 7900X,5.1ghz,2872,
46,KillaX,Intel Core I9 7920X,4.4ghz,2837,
47,Cheddle,Intel Core I7 7900X,4.8ghz,2635,
48,thinkoffcenter,2x Intel Xeon E5 2680 V2,2.8ghz,2657,
49,joishw,AMD Ryzen 1920X,4.1ghz,2651,
50,Bikerman,2x Intel Xeon E5 2680 V2,2.8ghz,2634,
51,DarwinTheCat,Intel Core I9 7900X,4.8ghz,2558,
52,Slick,Intel Xeon E5 2699 v3,2.883ghz,2507,(mini system video)
53,LinusTech,Intel Xeon E5 2699 v3,2.883ghz,2468,(Intel Xeon E5 2699 v3 inital review and testing)
54,xeon_fan,Intel Xeon E5 2697 v3,3.551ghz,2443,
55,Krille21,Intel Core I9 7900X,4.5ghz,2416,
56,Axiste,Intel Core I9 7920X,4.3ghz,2398,
57,GMart84,Intel Core I9 9900K,5.4ghz,2369,
58,D.A.M IT!,Intel Core I7 6950X,4.5ghz,2354,
59,Lathlaer,Intel Core I7 6950X,4.4ghz,2345,
60,done12many2,Intel Core I7 6950X,4.5ghz,2344,
61,sergeantsilent,Intel Core I9 9900K,5.328ghz,2342,
62,AlexCo,Intel Core I7 6950X,4.4ghz,2325,
63,Mephi00,Intel Core I9 9900K,5.3ghz,2318,
64,VagabondWraith,fake extreme cpu :P,5ghz,2271,
65,BSpendlove,2x Intel Xeon E5 2687W,3.1ghz,2265,
66,kinski,2x Intel Xeon E5 2667 V3,2.9ghz,2291,
67,Maxitup5,Intel Core I9 7900X,4.4ghz,2266,
68,Jumper118,AMD Ryzen 7 2700X,4.909ghz,2261,
69,TahoeDust,fake extreme cpu :P,5ghz,2249,
70,TahoeDust,Intel Core I9 9900K,5.1ghz,2229,
71,SebastianEier,Intel Core I9 9900K,5.023ghz,2213,
72,MightyDuck91,Intel Core I9 9900K,5.14ghz,2205,
73,stlwrx,Intel Core I9 9900K,5ghz,2200,
74,Stefan1024,2x Intel Xeon E5 2680 ,3.111ghz,2182,
75,Wiggles5289,Intel Core I7 5960X ,5.4ghz,2166,
76,Jumper118,AMD Ryzen 7 1800X,4.79ghz,2160,LN2
77,WezIax,2x Intel Xeon X5690,4.707ghz,2134,
78,Jumper118,2x Intel Xeon X5675,4.669ghz,2128,
79,X_X,Intel Xeon E5 2683 V3,3.15ghz,2123,
80,AMGPower,Intel Core I7 7820X,4.8ghz,2119,
81,Ray_,Intel Core I7 6950X,4ghz,2112,
82,Jumper118,2x Intel Xeon E5 2670,3.12ghz,2105,
83,Blissed,Intel Xeon E7 4890 V2,2.8ghz,2100,
84,Damascus,Intel Core I7 6950X,4ghz,2090,
85,nick name,AMD Ryzen 7 2700X,4.421ghz,2058,
86,skylane,Intel Xeon E5 2695 v3,3.255ghz,2048,
87,Jumper118,Intel Core I7 5960X ,5.026ghz,2038,
88,done12many2,Intel Core I7 5960X ,4.962ghz,2033,
89,harrynowl,Intel Core I7 5960X ,5.125ghz,2021,
90,kinski,Xeon E5 26XX V4,2.8ghz,2011,
91,wobbler243,2x Intel Xeon E5 2670,2.6ghz,2007,
92,BigidaJigida,Intel Core I9 9900K,4.8ghz,2007,
93,Jun Ishiwata,Intel Core I9 9900K,4.722ghz,2003,
94,DingoFnBaby,AMD Ryzen 7 2700X,4.373ghz,1997,
95,RYDERUSMC,AMD Ryzen 7 2700X,4.39ghz,1989,
96,FlanK3r,Intel Core I7 5960X ,5.001ghz,1985,LN2
97,doomddomp,2x Intel Xeon E5 2670,2.6ghz,1978,
98,Densetsu,AMD Ryzen 7 2700X,4.308ghz,1977,
99,RealJeseyRob,2x Intel Xeon E5 2470 V2,2.4ghz,1974,
100,Masada02,Intel Core I7 5960X ,4.8ghz,1967,
101,Jamesrideout2,Intel Core I7 5960X ,4.832ghz,1962,
102,ProKoN,Intel Core I7 8086K,5.763ghz,1953,
103,Chauthyr,AMD Ryzen 7 2700X,4.25ghz,1945,
104,buzzinkeegs,AMD Ryzen 7 1800X,4.24ghz,1942,
105,Cheddle,AMD Ryzen 7 2700X,4.25ghz,1940,
106,JohnDongus,AMD Ryzen 7 2700X,4.249ghz,1940,
107,Jumper118,AMD Ryzen 7 1700,4.142ghz,1937,
108,Reikku,Intel Core I7 7820X,4.88ghz,1934,
109,rtsurfer,Intel Core I7 5960X ,4.759ghz,1929,
110,ENiX,2x Intel Xeon E5 2670,2.6ghz,1929,
111,Carterfarter mcbanned,Intel Core I7 5960X ,4.75ghz,1927,
112,Nordern,AMD Ryzen 7 2700X,4.242ghz,1919,
113,Crowzer,AMD Ryzen 7 2700X,4.25ghz,1913,
