Position,Name,CPU,Clock Speed,Score (cb),Extra Info
1,Lays,Intel Core I7 7700K,5.525ghz,248,
2,done12many2,Intel Core I7 7700K,5.601ghz,247,
3,ProKoN,Intel Core I7 7700K,5.536ghz,243,
4,done12many2,Intel Core I9 7900X,5.3ghz,238,
5,Jumper118,Intel Core I5 6600K,5.444ghz,237,
6,LSky,Intel Core I7 8700K,5.426ghz,237,
7,MageTank,Intel Core I7 8700K,5.399ghz,235,
8,Ethan2163,Intel Core I7 8700K,5.301ghz,235,
9,SlowMixit,Intel Core I7 8086K,5.457ghz,235,
10,Cookybiscuit,Intel Core I7 8700K,5.3ghz,234,
11,done12many2,Intel Core I7 8700K,5.2ghz,234,
12,ProKoN,Intel Core I7 4790K,5.776ghz,232,dice dice baby https://www.youtube.com/watch?v=rog8ou-ZepE
13,Bubblewhale,Intel Core I7 7700K,5.3ghz,232,
14,Shzzit,Intel Core I7 8700K,5.3ghz,232,
15,rfcokilljoy,Intel Core I5 7600K,5.3ghz,230,
16,Mephi00,Intel Core I9 9900K,5.3ghz,229,
16,Legendarypoet,Intel Core I7 8700K,5.2ghz,228,
18,ProKoN,Intel Core I7 6700K,5.152ghz,227,
19,TahoeDust,fake extreme cpu :P,5.1ghz,227,
20,thenotoriousmma,Intel Core I7 8700K,5.2ghz,226,
21,ViBEE,Intel Core I7 8700K,5.2ghz,225,
22,Masada02,another fake extreme cpu :P,5.2ghz,224,
23,VagabondWraith,fake extreme cpu :P,5ghz,224,
24,ProKoN,Intel Core I3 6100,5161ghz,223,
25,LSky,Intel Core I7 7700K,5.1ghz,222,
26,kwongsir,Intel Core I5 8600K,5.1ghz,222,
27,Jumper118,Intel Core I3 6100,5.148ghz,221,
28,Methos,Intel Core I5 4690K,5.503ghz,220,
29,Zeny1,Intel Core I7 8700K,5ghz,220,
30,SebastianEier,Intel Core I9 9900K,5.023ghz,220,
31,Masada02,Intel Core I7 8700K,5.1ghz,220,
32,Mister Woof,Intel Core I7 8700K,5ghz,220,
33,Isstefan,Intel Core I5 7600K,5.1ghz,219,
34,stlwrx,Intel Core I7 8600K,5ghz,217,
35,Cloveh,Intel Core I7 8700K,5ghz,217,
36,done12many2,Intel Core I9 7920X,4.8ghz,216,
37,Cheddle,somecrapintelthrowoutcostheygotscaredofthreadripper,4.8ghz,215,
38,jstudrawa,Intel Core I7 8700K,5ghz,215,
39,mkdragon,Intel Core I7 7700K,5.1ghz,215,
39,Dellers,Intel Core I7 8700K,4.901ghz,215,
41,Simon771,Intel Core I7 8600K,5ghz,213,
42,LSky,Intel Core I7 6700K,5ghz,212,
43,AMGPower,Intel Core I7 7820X,4.8ghz,212,
44,Jumper118,Intel Core I5 3570K,5.803ghz,211,
45,Joostan,Intel Core I7 8700K,4.9ghz,211,
46,DeathPheonix,Intel Core I9 7920X,4.8ghz,211,
47,gt403cyl,Intel Core I7 6700K,4.911ghz,210,
48,Jumper118,Intel Core I3 6320,4.83ghz,210,
49,suprageo,Intel Core I7 6700K,4.923ghz,210,
50,Mutoh,Intel Core I7 6700K,4.8ghz,210,
51,Growlithe,Intel Core I7 6700K,4.8ghz,210,
52,Bubblewhale,Intel Core I7 7700K,4.9ghz,210,
53,Jumper118,AMD Ryzen 7 2700X,4.985ghz,210,
54,Br3tt96,Intel Core I7 4790K,5.2ghz,208,
55,O9B0666,Intel Core I7 8700K,4.9ghz,207,
56,BigidaJigida,Intel Core I9 9900K,4.8ghz,206,
57,ProKoN,Intel Core I5 4690K MKII,5.239ghz,205,
58,knobster368,Intel Core I7 6700K,4.7ghz,205,
59,Darkman,Intel Core I7 6700K,4.701ghz,205,
60,Ronnie76,Intel Core I7 4790K,5ghz,204,
61,maybethisnamewillwork,Intel Core I7 4790K,5.104ghz,204,
62,ProKoN,Intel Core I5 4670K,5.1ghz,203,
63,ProKoN,Intel Pentium G3258,5.208ghz,203,
64,G3CK,Intel Core I7 6700K,4.7ghz,203,
65,Morgan NLGman,Intel Core I7 6700K,4.7ghz,203,
66,dexT,Intel Core I7 5820K,4.876ghz,203,
67,done12many2,Intel Core I7 5960X ,4.962ghz,203,
68,TheHawzzy,Intel Core I7 8700K,4.4ghz,203,
69,Lays,Intel Core I7 4770K,4.978ghz,202,
70,Master Disaster,Intel Core I7 6700K,4.7ghz,201,
71,domiurg,Intel Core I7 6700K,4.7ghz,201,
72,NinjaTerd,Intel Core I7 6700K,4.7ghz,201,
73,paddy-stone,Intel Core I7 6700K,4.7ghz,201,
74,Masada02,Intel Core I7 5960X ,4.9ghz,200,
75,The76i,Intel Core I5 8600K,4.6ghz,200,
76,SkilledRebuilds,Intel Core I7 4790K,4.807ghz,200,
77,kurtbarker,Intel Core I7 6700K,4.6ghz,199,
78,ProKoN,Intel Core I7 2700K,5.617ghz,199,
79,0ld_Chicken,Intel Core I7 4790K,5ghz,199,
80,Jumper118,Intel Core I5 2500K,5.625ghz,198,
81,ProKoN,Intel Core I5 4690K,5ghz,197,
82,Jamesrideout2,Intel Core I7 5960X ,4.832ghz,197,
83,Jumper118,AMD Ryzen 5 2600X,4.648ghz,196,
84,YoloSwag,Intel Core I5 6600K,4.5ghz,195,
85,Razzaa,Intel Core I7 4790K,4.837ghz,194,
86,OCing Noob,Intel Core I5 4790K,5ghz,194,
87,DeathPheonix,Intel Core I7 4790K,4.8ghz,194,
88,done12many2,Intel Core I7 4790K,4.804ghz,194,
89,Jumper118,Intel Pentium G3258,4.951ghz,193,
90,CthulDude,Intel Core I7 4770K,4.9ghz,193,
91,Princess Cadence,Intel Core I7 8700,4.428ghz,192,
92,D.A.M IT!,Intel Core I7 6950X,4.5ghz,192,
93,Jumper118,Intel Core I7 2600K,5.406ghz,191,
94,Yeater,Intel Core I7 4790K,4.806ghz,191,
95,t-scene,Intel Core I7 4790K,4.8ghz,191,
96,Ramrod126,Intel Core I5 6600K,4.611ghz,191,
97,IHardware Shelden,Intel Core I7 7700K,4.2ghz,191,
98,Krzyimprt,Intel Core I5 6600K,4.4ghz,191,
99,FellTheSky,Intel Core I5 6400 ,4.419ghz,191,
100,Tam3n,Intel Core I7 3970X,5.4ghz,190,
101,nick name,AMD Ryzen 7 2700X,4.52ghz,190,
102,TheElt,Intel Core I5 4690K,4.8ghz,189,
103,WildChickenNutz,Intel Core I7 4790K,4.9ghz,189,
104,thekeemo,Intel Core I7 4790K,4.8ghz,189,
105,levibaker88,Intel Core I7 4790K,4.7ghz,189,
106,Scott17818,Intel Core I7 6700K,4.554ghz,189,
107,KeltonDSMer,Intel Core I3 6100,4.514ghz,189,
108,HazMatt,Intel Core I5 4690K,4.8ghz,188,
